process,process,process,process,process,process,process,process,process,process,process,process,process,sensor,sensor,sensor,sensor,sensor,sensor,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects
velocity_1,velocity_2,velocity_3,high_velocity,rapid_rise_time,biscuit_thickness,clamping_force,cycle_time,pressure_rise_time,casting_pressure,spray_time,spray_1_time,spray_2_time,melting_furnace_temp,air_pressure,coolant_temp,coolant_pressure,factory_temp,factory_humidity,short_shot_1,bubble_1,exfoliation_1,stain_1,dent_1,deformation_1,short_shot_2,bubble_2,exfoliation_2,deformation_2
0.146,0.168,0.187,2.116,0.008,12,254,20.6,0.044,1053,7.8,0.7,0.8,685.3,5.4,26.1,2.69,33.4,55.5,0,0,0,0,0,0,0,0,0,0
0.146,0.168,0.174,2.154,0.008,10,254,20.6,0.042,1038,7.8,0.7,0.8,685.3,5.4,26.1,2.69,33.4,55.5,1,0,0,0,0,0,0,0,0,0
0.144,0.168,0.176,2.164,0.008,11,254,20.6,0.041,1052,7.8,0.7,0.8,685.3,5.4,26.1,2.69,33.4,55.5,0,0,1,0,0,0,0,0,1,0
0.144,0.166,0.176,2.116,0.008,11,255,20.8,0.043,1053,7.9,0.7,0.8,671.4,6.6,26.3,2.7,34.1,54.7,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.186,2.155,0.008,11,255,20.6,0.044,1038,7.9,0.7,0.8,671.4,6.6,26.3,2.7,34.1,54.7,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.178,2.128,0.007,11,257,20.8,0.044,1051,7.9,0.7,0.8,672.4,6.6,26.3,2.68,34.1,54.6,0,0,0,0,0,0,1,0,0,0
0.144,0.168,0.18,2.137,0.007,11,258,20.7,0.043,1054,7.9,0.7,0.8,672.4,6.6,26.3,2.68,34.1,54.6,1,0,0,0,0,0,0,0,0,0
0.144,0.166,0.184,2.131,0.008,12,259,20.7,0.044,1038,7.9,0.7,0.8,672.4,6.6,26.3,2.68,34.1,54.6,1,0,0,0,0,0,1,0,0,0
0.144,0.168,0.178,2.157,0.008,12,259,20.7,0.041,1053,7.9,0.7,0.8,673.4,6.6,26.3,2.68,34.1,54.5,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.18,2.145,0.007,11,261,20.6,0.044,1038,7.9,0.7,0.8,673.4,6.6,26.3,2.68,34.1,54.5,0,0,1,0,0,0,1,0,0,0
