process_velocity_1,process_velocity_2,process_velocity_3,process_high_velocity,process_cylinder_pressure,process_rapid_rise_time,process_biscuit_thickness,process_clamping_force,process_cycle_time,process_pressure_rise_time,process_casting_pressure,process_spray_time,process_spray_1_time,process_spray_2_time,sensor_melting_furnace_temp,sensor_air_pressure,sensor_air_pressure_min,sensor_air_pressure_max,sensor_coolant_temp,sensor_coolant_temp_min,sensor_coolant_temp_max,sensor_coolant_pressure,sensor_factory_temp,sensor_factory_temp_min,sensor_factory_temp_max,sensor_factory_humidity,sensor_factory_humidity_min,sensor_factory_humidity_max
0.144,0.17,0.182,2.119,215,0.008,14,259,21.1,0.037,1039,8.2,0.7,0.7,697.9,5.4,3,9,26.5,10,50,2.62,34.9,18.0,22.0,57.9,18.0,22.0
0.144,0.17,0.189,2.141,217,0.008,12,259,20.7,0.044,1052,7.8,0.8,0.8,684.0,6.1,3,9,26.3,10,50,2.75,31.6,18.0,22.0,64.1,18.0,22.0
0.142,0.168,0.176,2.137,214,0.008,12,259,20.7,0.044,1037,7.9,0.8,0.8,702.8,6.4,3,9,26.2,10,50,2.77,31.6,18.0,22.0,62.7,18.0,22.0
0.144,0.168,0.182,2.129,218,0.008,11,258,20.8,0.044,1053,8.0,1.0,0.8,707.0,5.9,3,9,27.2,10,50,2.71,36.9,18.0,22.0,45.8,18.0,22.0
0.142,0.166,0.174,2.131,219,0.008,13,263,21.2,0.044,1059,8.4,1.0,0.8,692.1,5.2,3,9,27.2,10,50,2.73,32.3,18.0,22.0,64.6,18.0,22.0
0.141,0.17,0.18,2.144,218,0.007,12,257,20.8,0.043,1053,8.1,1.0,0.8,682.0,6.5,3,9,26.5,10,50,2.7,34.7,18.0,22.0,52.0,18.0,22.0
0.142,0.168,0.179,2.134,218,0.007,11,257,20.9,0.044,1054,8.1,1.0,0.8,699.0,6.9,3,9,27.3,10,50,2.72,36.2,18.0,22.0,47.0,18.0,22.0
0.144,0.168,0.18,2.135,217,0.008,11,258,20.7,0.043,1052,7.9,0.8,0.8,694.5,6.2,3,9,26.5,10,50,2.75,32.2,18.0,22.0,61.9,18.0,22.0
0.144,0.168,0.182,2.132,218,0.008,11,255,21.2,0.044,1056,8.3,0.8,0.8,706.0,6.1,3,9,26.8,10,50,2.75,32.0,18.0,22.0,62.4,18.0,22.0
0.14,0.168,0.187,2.131,218,0.008,12,254,20.7,0.044,1053,7.9,0.8,0.8,675.2,6.8,3,9,26.6,10,50,2.77,32.2,18.0,22.0,62.1,18.0,22.0
